BAD,LOAN,MORTDUE,VALUE,REASON,JOB,YOJ,DEROG,DELINQ,CLAGE,NINQ,CLNO,DEBTINC
1,2800,103949,120702,HomeImp,Office,2,0,0,101.5402975,0,13,22.27817437
1,2800,104373,67996,HomeImp,Other,16,3,0,122.2046628,0,13,19.02770443
1,2900,7750,70915,DebtCon,Mgr,2,0,0,282.8016592,2,8,43.45058791
0,2900,61962,121729,HomeImp,Office,2,0,0,85.8843719,3,37,20.20803267
0,2900,104570,20300,HomeImp,Other,3,0,0,50.8,0,14,34.18137652
1,2900,7000,8800,HomeImp,Other,2,0,0,77.76666667,5,9,41.80637615
1,2900,119826,33000,HomeImp,Other,1,0,1,23.3,0,3,36.43209394
0,3000,20000,193500,HomeImp,Other,8,0,1,130.0333585,1,2,23.58107924
1,3000,47000,29750,DebtCon,Other,2,0,0,187.0666667,0,27,39.15808483
1,3000,34542,14500,HomeImp,Other,3,0,0,9.3,0,12,40.70530876
1,3000,58000,14100,HomeImp,Other,1,0,0,104.2,14,2,25.2272529
1,3000,47000,82700,HomeImp,ProfExe,10,0,0,262.1666667,0,19,41.42111052
1,3000,39589,45900,HomeImp,Mgr,8.5,0,1,62.36666667,5,26,11.6527388
1,3000,67848,71500,HomeImp,Mgr,10,0,2,211.9333333,0,10,35.22699719
1,3000,48603,56400,HomeImp,Office,21,0,2,201.8666667,0,25,36.47547328
1,3000,27200,36100,HomeImp,Other,1.5,0,0,153.1666667,0,20,34.41650781
1,3000,54000,70400,HomeImp,Mgr,10,0,0,206.4266021,1,14,29.20902258
0,3000,74864,74566,HomeImp,ProfExe,28,0,1,122.0333333,0,25,34.27529378
0,3000,23159,61000,HomeImp,Other,1,0,4,298.131564,1,25,21.58376012
1,3100,126541,40834,HomeImp,Other,7,1,0,121.8666667,0,7,43.71763511
0,3100,130518,64850,HomeImp,ProfExe,20,0,0,250.6312692,3,21,22.54439284
0,3200,37000,87266,HomeImp,Mgr,9,0,0,117.8057478,0,12,37.76961861
1,3200,23200,134527,HomeImp,Sales,9,0,2,139,0,9,33.24315698
1,3200,19400,164317,DebtCon,Other,2,0,0,192.289149,0,36,41.67399636
1,3200,61584,52000,HomeImp,Office,11,0,6,183.2999156,0,33,40.59091002
0,3200,41900,38666,HomeImp,Other,5,0,1,162.3666667,0,6,22.79542355
1,3200,83700,20494,HomeImp,Other,10,0,0,95.93333333,0,14,33.70558774
1,3300,61327,61800,HomeImp,ProfExe,3,1,0,72.03333333,0,9,33.35465263
1,3300,100693,52490,HomeImp,Mgr,6,0,0,192.7333333,2,4,36.69941492
1,3400,48507,111800,HomeImp,ProfExe,9,0,0,202.5107752,1,28,40.61677935
1,3500,52337,76484,HomeImp,Mgr,6,1,2,88.47045214,0,25,44.10795169
1,3500,17857,114743,HomeImp,Office,13,0,0,97.4,0,14,25.89731648
1,3600,19135,61000,DebtCon,Office,20,0,4,204.2724988,0,17,26.44819746
1,3600,51180,63989,HomeImp,Office,5,0,0,129.7173231,0,20,37.51270841
0,3600,11543,21144,HomeImp,Other,1.6,0,0,252.6333333,1,9,36.66927861
0,3600,29896,97692,HomeImp,Mgr,20,0,6,203.7515336,1,25,35.02507297
0,3600,14500,63459,HomeImp,Office,11,0,0,204.6479917,0,20,46.489874
1,3600,52825,73189,HomeImp,Self,3.5,0,0,146.1232422,0,11,40.95258888
0,3600,102143,46045,HomeImp,Other,8,0,0,150.3,0,14,42.18353867
1,3700,21200,45960,HomeImp,Other,2,0,1,171.6666667,5,8,40.30825936
1,3800,105164,22092,DebtCon,ProfExe,4,0,4,85.27736558,1,31,26.25797013
0,3800,54543,63000,HomeImp,Office,1,0,0,86.56666667,0,13,39.85214652
0,3800,26572,118742,DebtCon,Mgr,21,3,1,94.72487417,2,14,26.72234334
0,3800,17000,39000,HomeImp,Office,1.5,0,0,205.58668,0,13,25.44475915
1,3900,29562,112774,HomeImp,Office,11,0,0,126.5333333,0,19,23.64469128
1,3900,41700,61777,HomeImp,Other,22,0,2,117.7951039,3,12,25.65074122
0,3900,58000,80609,HomeImp,Office,6,0,0,85.33333333,0,8,38.76698507
0,3900,5700,31960,HomeImp,ProfExe,0.5,0,1,92.13333333,1,9,34.44607922
1,3900,45000,52012,DebtCon,Other,3.5,0,0,136.1333333,1,26,36.40172955
0,4000,7000,37200,HomeImp,Other,3.5,2,3,168.6666667,0,15,43.29013982
0,4000,66000,76725,HomeImp,Other,18,0,1,12.2,0,18,23.79740106
1,4000,62000,69440,DebtCon,Other,1.8,0,0,162,0,17,24.41476318
1,4000,64240,18000,HomeImp,Mgr,0,2,0,85.8,3,16,42.71209384
1,4000,74000,58350,HomeImp,Other,4,1,1,279,2,23,72.67043331
1,4000,55000,16020,HomeImp,Other,5,2,0,109.5666667,1,6,19.13120118
1,4000,67625,79050,HomeImp,Other,2.6,0,0,160.3,0,0,40.44257039
1,4000,67533,45760,HomeImp,Sales,12,1,0,186.6333333,0,15,39.1969854
1,4000,58500,78000,HomeImp,ProfExe,11,0,0,146.1,1,23,12.04367058
1,4000,57992,63990,HomeImp,Other,10,0,3,212.3493039,0,9,27.90612273
1,4000,56544,93000,DebtCon,Mgr,0,1,0,227.7929884,0,22,34.59906019
0,4000,34800,59000,HomeImp,Mgr,8,0,1,100.7746522,0,25,35.8385427
0,4000,67700,80698,HomeImp,Other,7,0,2,63.93333333,0,25,38.59149403
0,4000,44000,71865,HomeImp,Other,19,0,0,165.505037,2,19,28.42396191
0,4000,66272,19132,HomeImp,ProfExe,2,0,2,211.0025991,1,15,19.7621137
1,4000,50216,65000,DebtCon,Office,4,0,4,93.5,1,31,19.35050563
1,4000,71206,63797,HomeImp,Other,6,2,0,128.8333333,1,20,36.4802363
0,4000,68815,59218,HomeImp,Sales,3,0,0,75.43333333,0,5,37.84877104
0,4000,72021,50225,DebtCon,Other,19,1,0,110.2786626,0,31,24.70113626
1,4100,53969,77000,DebtCon,Office,3,1,1,209.8713022,0,16,26.3548893
1,4100,53091,55085,HomeImp,Sales,6,0,0,129.932869,0,15,32.05002349
0,4100,66127,82953,HomeImp,Other,2,0,0,105.1207088,0,19,44.09232568
0,4200,39000,58541,DebtCon,Other,7,0,0,263.9703003,0,31,23.16374295
1,4200,71082,78698,HomeImp,ProfExe,14,0,0,162.3900107,0,14,35.763638
0,4200,57000,79852,HomeImp,Office,4,0,0,89.86105825,0,5,37.61268272
0,4200,34184,80027,DebtCon,Other,1,0,3,81.3490651,0,30,35.27207374
0,4200,66517,63869,DebtCon,Other,4,2,3,170.3666667,1,17,31.37554242
0,4200,45500,60250,HomeImp,Other,0,2,0,118.7604101,0,15,20.6541289
0,4300,118000,64074,HomeImp,Other,5,0,0,222.6,0,19,27.64674851
0,4300,90000,79087,HomeImp,Mgr,3.5,2,0,122.6,1,14,28.4175309
0,4300,67913,77182,HomeImp,ProfExe,10,0,0,125.8,2,0,20.67931358
0,4400,71855,66000,HomeImp,Other,6,0,1,86.16666667,0,13,43.40443024
0,4400,53918,79247,HomeImp,ProfExe,4.5,1,4,203.8666667,0,22,34.49470897
1,4400,49100,49044,DebtCon,Other,6,0,0,80.1,1,34,36.9867441
0,4500,88026,46000,HomeImp,Mgr,2,0,0,142.8243915,3,18,33.12648397
0,4500,26900,87000,HomeImp,Other,2,0,3,283.9595381,0,20,41.45204353
1,4500,67317,50000,HomeImp,ProfExe,6,0,0,54.13647743,0,10,40.44256779
0,4500,56067,146870,HomeImp,ProfExe,0.1,0,0,61.8,2,24,32.67664088
0,4500,80482,105800,DebtCon,ProfExe,6,0,0,182.2483316,0,5,18.36954053
1,4500,58688,97205,HomeImp,Mgr,9,0,0,90.46666667,1,15,22.84109285
1,4500,65873,88566,HomeImp,ProfExe,3,0,0,137.3197248,0,17,21.55494966
1,4500,25597,59511,HomeImp,ProfExe,9,0,2,160.1463113,1,27,37.77335098
0,4500,67794,58238,DebtCon,ProfExe,7,1,0,275.0323948,0,16,24.65139574
1,4500,44000,115506,HomeImp,Mgr,9,0,3,179.1625747,2,23,42.39776964
1,4500,170986,45000,DebtCon,Other,2,0,0,141.858999,0,30,38.75056267
0,4700,65576,97191,HomeImp,Other,5,0,3,101.7467664,0,11,24.27486528
0,4700,57461,63102,HomeImp,Other,4,0,0,112.5734189,0,31,21.25802688
0,4700,47479,88342,HomeImp,Sales,10,0,0,81.5,3,23,37.85968784
1,4700,66839,63348,HomeImp,Other,6,0,0,131.9333333,0,8,24.33953357
0,4700,12457,90408,DebtCon,ProfExe,8,0,0,61.64250608,1,15,41.18503956
1,4700,90059,23031,HomeImp,Other,5,0,0,183.6356132,0,13,29.43966424
0,4800,22320,84630,DebtCon,Self,4,0,2,65.03296901,0,22,31.2434087
0,4800,40000,59745,HomeImp,ProfExe,7,0,4,122.5972226,0,14,41.77788863
0,4800,100882,28437.5,DebtCon,Other,10,0,0,207.1434813,0,30,42.46486629
0,4900,31000,245300,HomeImp,Mgr,0.4,0,0,193.6364469,1,16,41.21001247
0,4900,63125,65774,HomeImp,Mgr,5,0,0,65.7,2,15,39.89610462
1,4900,100000,68494,HomeImp,ProfExe,12,0,0,61.76666667,0,12,47.41522866
0,4900,34200,69706,HomeImp,Office,3,0,0,58.86666667,0,28,30.0170133
1,4900,123000,34846,HomeImp,Mgr,13,0,0,100.3,0,5,33.85046122
0,4900,16600,61690,HomeImp,Other,17.5,0,1,121.9,2,8,38.77368596
0,4900,22700,87168,HomeImp,Other,1,0,0,54.73333333,1,16,43.30976454
1,4900,6000,53448,HomeImp,Other,6,0,2,57,1,14,42.19194156
0,4900,73126,113714,HomeImp,Other,10,0,0,72.43333333,1,14,38.94057536
0,4900,72517,34900,HomeImp,Mgr,9,0,0,88.7,0,8,39.95910877
0,5000,26037,70500,HomeImp,Other,6,0,0,285.3333333,3,9,30.18780539
0,5000,39000,102700,HomeImp,Other,4,0,0,74.63333333,3,12,43.20775979
0,5000,70470,47350,HomeImp,Other,7,0,1,335.0333333,2,3,34.17405555
0,5000,74225,126500,HomeImp,Self,19,0,0,125.9666667,1,6,41.28742339
0,5000,78565,129693.5,HomeImp,Other,19,3,1,300.3666667,0,9,24.14015367
1,5000,59900,132000,HomeImp,Other,1,0,0,182.6333333,1,42,41.44250046
1,5000,10171,9100,HomeImp,Other,19,5,1,179.8333333,1,10,12.74918065
1,5000,78893,50830,HomeImp,Mgr,12,0,0,276.9666667,0,24,27.59527352
1,5000,85165,71277,HomeImp,ProfExe,10,0,0,266.8,10,13,40.62827818
1,5000,68000,157500,HomeImp,Office,1.7,1,0,51.76666667,3,19,40.11040743
1,5000,71571,25250,DebtCon,Other,5,3,0,107.1333333,1,14,32.78292683
1,5000,28000,52000,DebtCon,Other,3,1,3,51.76666667,0,26,32.97719723
1,5000,40000,34225,HomeImp,ProfExe,0.3,0,0,219.1333333,1,4,37.95433691
1,5000,81748,38575,HomeImp,Office,1.5,0,0,228.3,5,5,37.28998992
1,5000,44674,74500,DebtCon,Other,24,0,6,133.9,0,14,15.174415
1,5000,61999,94119,DebtCon,ProfExe,15,1,0,122.7666667,0,18,21.93549881
1,5000,80153,87500,HomeImp,ProfExe,13,0,3,131.8666667,1,24,36.74676624
1,5000,68739,86250,DebtCon,Office,16,0,0,82.13333333,1,34,24.76674453
1,5000,51209,35000,HomeImp,Mgr,6,0,1,222.2,2,28,31.75727069
1,5000,46696,50340,HomeImp,Mgr,0.1,0,0,163.3666667,0,30,26.72002818
1,5000,66435,26550,DebtCon,ProfExe,1.4,1,2,144.0666667,2,13,40.15052706
1,5000,179725,77908,DebtCon,ProfExe,2,0,2,178.6925087,0,6,28.84827658
0,5000,85583,36375,HomeImp,Other,8,0,0,97.1,0,16,13.30601308
0,5000,72891,89640,HomeImp,Other,14,0,0,120.6750632,0,17,28.92511742
0,5000,30755,65400,HomeImp,ProfExe,10,0,0,148.7204047,0,19,28.87646306
0,5000,87258,37500,DebtCon,Office,5,0,1,69.1074656,0,23,32.55254334
0,5000,9900,98500,DebtCon,Other,1,1,2,148.3406455,1,10,39.78381813
0,5000,93000,80800,DebtCon,Other,3,1,0,257.6522064,0,23,34.51740452
0,5000,15500,26809,HomeImp,Mgr,5,2,0,125.1306256,0,15,25.35001036
0,5000,129319,82600,DebtCon,Other,2,0,0,127.4988134,0,14,34.05481124
0,5000,66834,107940,HomeImp,Other,2,0,0,177.9582551,0,26,29.66171016
1,5000,73882,75616,HomeImp,Other,2,0,0,273.8817052,1,14,30.19763073
0,5000,74071,85100,DebtCon,Sales,7,0,0,69,0,22,25.37554416
0,5000,62702,36810,DebtCon,ProfExe,1,0,0,258.7892976,2,28,40.31539659
1,5000,67000,32480,HomeImp,Other,10,1,0,181.6630402,2,6,37.19944569
1,5000,43039,59375,HomeImp,Other,1,0,0,277.9445608,0,17,36.53874734
1,5000,19000,75021.3,HomeImp,Other,6,0,0,21.2,0,14,27.16765596
1,5000,91250,97275,DebtCon,ProfExe,2,0,2,417.6333333,1,28,12.32470709
1,5000,16324,93435,HomeImp,Other,11,0,0,86.23333333,2,14,20.61678366
1,5000,40564,55320,HomeImp,Other,10,1,0,157.8598021,0,2,28.2855321
1,5000,73698,85202,HomeImp,Other,0,0,0,290.034108,1,50,38.67514015
1,5000,66987,46281,DebtCon,Other,7,0,0,125.7874001,0,13,35.64227011
0,5000,26908,82819,HomeImp,Sales,0,1,0,121.0759726,10,36,39.19806822
1,5000,44993,251962,DebtCon,Other,0,0,0,108.0725908,1,6,33.11182911
0,5000,51000,115341,HomeImp,Other,0,0,1,266.8134646,1,10,31.44775041
0,5000,75958,80691,HomeImp,Other,2,0,0,119.7,0,9,31.1772613
0,5000,97132,46735,DebtCon,Other,2,0,1,184.2966873,1,15,29.59595551
1,5000,60826,26715,HomeImp,Other,9,0,0,17.2,1,14,26.52004952
0,5000,83552,121382,HomeImp,Other,11,0,0,81.1,0,25,21.71959598
0,5000,47449,28291,DebtCon,Office,0,0,0,123.7666667,0,19,38.57713194
0,5100,50934,30451,DebtCon,Other,1,0,0,221.1180817,0,7,29.83596072
0,5100,53429,116875,HomeImp,Other,24,0,0,157.7710357,1,2,23.31951678
0,5100,47844,34000,DebtCon,Office,0,0,0,175.3287038,1,12,42.40781425
1,5100,45509,141875,HomeImp,Self,4,0,0,302.3587095,0,11,28.36185178
0,5100,59720,87361,HomeImp,Other,4,0,0,184.7427672,0,13,42.24492757
0,5100,86922,96031,DebtCon,Sales,0,0,0,98.33333333,0,22,22.05503421
0,5100,68625,97064,DebtCon,Other,7,0,1,124.1821788,0,8,36.41688697
1,5100,65814,79784,HomeImp,Office,10,0,0,109.9339079,0,0,21.13798157
0,5100,78300,36425,HomeImp,Mgr,0,0,0,212.8917461,1,18,42.06826818
1,5100,48152,77000,HomeImp,Other,22,3,0,208.162714,1,12,40.24440437
1,5100,70481,53521,DebtCon,Office,10,0,0,197.2419573,0,10,40.64461955
0,5100,87765,26000,HomeImp,Mgr,0,0,0,69.54243011,0,11,40.18812313
0,5100,52897,9500,HomeImp,ProfExe,19,0,1,40.709849,3,25,37.96455432
0,5100,24700,110000,HomeImp,Office,21,2,0,189.0343046,0,20,31.20612976
0,5100,43486,45187,HomeImp,Office,5,0,0,95.6,2,20,26.1209597
0,5200,21359,39527,HomeImp,Office,1,0,0,199.9,0,16,31.97197121
0,5200,93051,84427,DebtCon,Office,8,0,0,185.0763473,3,4,36.60294734
0,5200,87438,65111,HomeImp,Sales,4,0,0,136.6329442,4,18,45.11431939
0,5200,78059,36078,HomeImp,ProfExe,5,2,1,122.9402886,3,22,29.75370028
1,5200,72147,49396,DebtCon,ProfExe,5,0,0,102.5,1,20,28.75634543
0,5200,40584,50673,HomeImp,Sales,2,0,0,78.45212577,1,28,27.83900666
0,5200,37368,64000,HomeImp,Other,4,0,3,116.5919769,1,30,29.01198058
1,5200,71644,91703,DebtCon,ProfExe,8,0,0,55.55804904,0,15,37.80035293
0,5300,85845,117343,HomeImp,Other,6,0,2,189.2953185,0,19,30.53126454
0,5300,53793,80826,HomeImp,ProfExe,8,1,1,153.9333333,0,16,29.05543313
1,5300,69435,96809,DebtCon,Office,22,1,0,216.1333333,0,24,24.22731934
0,5300,29648,63895,HomeImp,Other,20,0,0,130.8,0,13,29.19886067
0,5300,76407,62957,HomeImp,Other,1,0,0,167.3666667,0,19,30.3434486
1,5300,5000,64505,DebtCon,Other,4,0,1,187.0205188,1,27,34.34583769
0,5300,55160,65474,HomeImp,Mgr,7,0,1,186.424416,0,30,23.47088075
0,5300,41439,52040,HomeImp,ProfExe,5,0,2,158.5344979,1,14,69.8005248
0,5300,15275,57453,DebtCon,ProfExe,6,0,0,136.3206375,0,8,34.89841307
0,5300,100934,63450,HomeImp,Sales,6,1,0,82.29426635,0,27,26.16049489
0,5300,49514,119846,HomeImp,Other,5,0,0,48.995845,0,27,20.02835351
0,5300,76948,82304,DebtCon,Other,4,0,0,43.72233695,1,23,12.21943615
0,5400,28127,85848,HomeImp,Mgr,4,0,0,150.8658451,0,13,42.21104678
0,5400,26927,75254,DebtCon,Office,1,0,0,172.2132767,0,2,27.53237611
0,5400,49806,88000,HomeImp,Sales,9,0,0,206.0991341,0,10,36.77345872
1,5400,70000,55760,DebtCon,ProfExe,1,0,1,200.418434,0,3,14.84599073
1,5400,58400,82446,DebtCon,Office,4,0,1,180.5630691,0,22,40.95709032
0,5400,80437,35402,HomeImp,ProfExe,5,0,0,91.68377063,0,26,15.70399156
0,5400,77213,101053,HomeImp,ProfExe,22,0,0,204.0666667,10,19,23.64285383
0,5400,62319,65054,HomeImp,Other,14,1,0,148.1333333,3,17,32.39759341
0,5400,71556,35675,DebtCon,Other,11,0,0,181.3229899,1,13,24.12045156
1,5400,74172,43132,HomeImp,Other,9,0,0,204.335245,2,24,25.23136638
0,5400,28116,81600,HomeImp,Office,31,0,0,117.4995929,0,11,23.58701323
0,5500,75000,30000,HomeImp,Self,3,0,0,212.5391151,1,14,41.42859751
0,5500,79296,13770,HomeImp,Office,8,0,0,128.4764515,0,19,40.8949317
0,5500,27791,115374,HomeImp,Office,23,0,0,181.2829568,0,12,37.70699649
0,5500,172595,116679,HomeImp,Other,21,0,0,69.64566047,0,12,19.5495717
1,5500,46595,78179,DebtCon,ProfExe,7,0,0,21.79935215,0,21,38.89419475
1,5500,70973,69918,HomeImp,Office,10,0,0,210.3474786,9,25,38.52863281
0,5500,82912,46645,DebtCon,Other,0,2,0,95.9,0,13,39.73857627
1,5500,25972,12972,HomeImp,Sales,0,0,0,177.5,1,4,62.24645112
1,5500,74187,48502,HomeImp,ProfExe,3,0,0,104.4,0,6,20.20351771
0,5500,106650,66251,HomeImp,ProfExe,0.1,0,0,97.13317095,1,30,19.49387198
0,5500,95232,72696,HomeImp,Sales,4,0,0,117.6739652,1,17,20.8850935
0,5500,47625,122205,HomeImp,Other,9.5,0,0,92.64308456,1,26,19.33336736
0,5500,24600,66379,HomeImp,Other,0,0,0,272.2206283,0,14,39.21502891
1,5500,65000,83489,HomeImp,Other,4,0,0,157.0097747,0,16,18.92721164
1,5500,33600,39907,HomeImp,ProfExe,2,2,0,15.39658739,0,15,22.32582879
1,5500,42000,77485,HomeImp,Other,3,0,1,48.85366706,1,15,27.11865353
0,5500,32446,66700,HomeImp,Office,0,1,0,266.5533944,0,25,27.52324614
0,5500,9660,86800,HomeImp,Other,0,0,0,261.4052186,1,28,21.79851308
1,5500,22859,53893,DebtCon,Other,1,0,0,300.4872058,0,7,42.08390168
0,5600,16878,47954,DebtCon,Mgr,2,0,0,307.9748816,3,3,40.78739323
0,5600,72951,111496,DebtCon,Mgr,2,0,1,83.28906275,0,25,35.76160473
0,5600,43000,74685,HomeImp,Mgr,18,0,0,126.4009836,4,26,39.10750164
0,5600,53500,58249,HomeImp,Sales,19,0,0,71.76655716,1,23,17.96588344
1,5600,69876,85753,DebtCon,Office,3,0,0,80.13174641,4,23,41.4280899
1,5600,51000,36524,HomeImp,Other,1,1,2,36.76666667,8,13,22.28699748
0,5600,53227,68591,HomeImp,Self,5,0,1,120.3794143,1,21,35.76405836
0,5600,14000,35461,HomeImp,Other,1,0,6,238.6,1,4,38.37246088
0,5700,40000,82242,DebtCon,Other,7,0,0,157.9600114,2,17,37.25315085
0,5700,18793,84579,DebtCon,ProfExe,1,0,1,118.442491,1,8,14.37098595
0,5700,179397,75000,HomeImp,Other,2,0,1,250.5666667,3,24,40.71766885
0,5700,79046,109647,HomeImp,Other,2,0,3,149.0229081,3,2,21.85549413
0,5700,129731,92661,HomeImp,Mgr,9,0,2,154.1333333,5,0,30.52615072
0,5700,48500,82923,DebtCon,Office,1,6,0,116.1,1,27,30.79062077
0,5700,91704,79538,DebtCon,Office,22,1,0,69.3,3,24,40.82887293
0,5700,47604,39052,DebtCon,Other,0.1,0,0,122.7666667,0,23,19.27357946
1,5700,62751,79846,DebtCon,Other,4.5,0,1,140.9333333,2,12,34.44966467
1,5700,48300,33450,HomeImp,Office,26,0,0,90,0,26,36.09407143
1,5700,68743,64910,HomeImp,Other,13,0,1,51.73333333,1,34,36.24796303
1,5700,79636,69172,HomeImp,Other,2,0,0,136.3,0,34,34.47530193
0,5700,78753,36385,DebtCon,Other,19,0,2,83.33333333,0,23,27.76729977
0,5700,77265,41119,HomeImp,Other,2,1,1,218.6,6,20,33.46140225
0,5700,75657,90543,HomeImp,Other,8,0,0,343.9,1,13,39.84308734
1,5700,171582,86885,HomeImp,Mgr,4,0,2,101.5,0,9,36.30952679
0,5700,46601,46833,DebtCon,Other,1,0,0,105.4,0,6,40.56186054
0,5700,60354,250155,DebtCon,Other,22.8,0,4,179.5666667,0,20,40.73031534
0,5700,45356,34704,HomeImp,Other,1.6,0,3,222.1666667,2,34,21.91795226
0,5800,42100,73804,DebtCon,Other,0.1,0,0,122.7333333,1,47,31.73651179
0,5800,70793,58191,HomeImp,ProfExe,0,0,2,100.9333333,0,13,38.6936558
0,5800,73881,28000,HomeImp,Mgr,6,0,0,321.6333333,1,18,41.3025469
0,5800,45787,77989,HomeImp,Other,3,2,0,101.4,0,32,35.60189425
1,5800,75121,33100,HomeImp,Office,23,0,0,119.7,0,24,41.91689953
0,5800,133882,51189,HomeImp,ProfExe,4,0,4,90.3,0,23,28.27147416
0,5800,75623,91175,DebtCon,Mgr,6,0,0,129.9,0,9,32.67435897
0,5800,45564,41856,HomeImp,ProfExe,5,0,0,181.696538,0,13,43.67874666
0,5800,99469,78976,DebtCon,Mgr,6,0,0,213.5333333,0,19,26.82949019
1,5900,55000,66903,DebtCon,Other,0,0,0,111.3,2,8,36.33755756
0,5900,44226,69492,HomeImp,Other,0,0,0,129.2500896,4,29,22.86119965
1,5900,78724,115977,HomeImp,ProfExe,12,0,1,70.69532973,2,22,38.64027711
0,5900,59793,85925,DebtCon,Mgr,7,0,0,303,1,32,35.06267566
0,5900,65875,30500,HomeImp,Office,22,2,0,138.6468632,0,0,37.72035861
1,5900,45582,94355,HomeImp,Other,5,0,0,178.4896022,0,19,18.61728869
0,5900,92659,58305,HomeImp,Other,1,0,0,153.0667831,0,11,31.88003318
0,5900,58052,54904,HomeImp,Other,9,0,0,350.4361376,0,12,33.62413345
1,5900,49498,35900,HomeImp,Office,3,3,1,122.244945,1,18,37.94125377
0,6000,79667,32200,HomeImp,Sales,20,2,0,135.1089303,0,12,18.51055133
0,6000,12476,25850,HomeImp,Other,0,1,1,84.63211066,0,13,41.25070626
1,6000,69357,80000,DebtCon,ProfExe,0,0,1,210.1730647,1,19,20.09904978
1,6000,26655,57460,HomeImp,ProfExe,0,0,0,201.3344875,0,22,28.29568112
1,6000,25144,64790,HomeImp,Sales,4,0,0,293.9587236,1,47,31.7246985
1,6000,99131,94394.07,HomeImp,Sales,5,0,0,80.5,4,0,36.72713636
1,6000,76577,86125,HomeImp,Other,5,0,0,164.8,0,30,40.39647435
1,6000,47251,68700,HomeImp,ProfExe,2,0,0,162.9451569,1,22,40.05191523
1,6000,53476,43300,DebtCon,Other,3,0,0,182.8787798,1,18,36.81229063
1,6000,81116,61493,HomeImp,Self,8.5,0,0,63.11702323,0,23,36.00942149
1,6000,17491,54600,HomeImp,Other,3,0,0,212.5376432,1,29,27.20199961
1,6000,65215,27750,HomeImp,Sales,0,1,0,324.6868294,10,11,42.9300431
0,6000,62746,200000,HomeImp,Other,4,0,0,101.1670603,4,17,21.05757402
0,6000,76732,95500,HomeImp,ProfExe,0,1,0,124.7455955,1,28,26.64608364
0,6000,70035,103048,HomeImp,ProfExe,9,0,4,130.0666667,1,23,28.16183185
0,6000,39687,53190,HomeImp,Other,24,0,4,41.25011359,0,31,29.93791783
0,6000,51436,43683,HomeImp,Other,2,0,6,63.62641325,0,16,18.42136986
0,6000,44968,154113,DebtCon,Office,23,0,0,294.4780476,0,19,12.21967996
0,6000,9113,62500,DebtCon,ProfExe,13,0,0,335.0741426,0,47,23.39763463
0,6000,28041,47400,DebtCon,Office,1,2,2,120.7333333,0,13,28.30024564
1,6000,57887,114799,DebtCon,Other,7,1,3,84,0,12,42.803422
